"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NA3KR46H","journalArticle","2011","Palma, Gaetano; Giordano, Raffaele; Russolillo, Veronica; Cioffi, Sabato; Palumbo, Sergio; Mucerino, Marco; Poli, Vincenzo; Vosa, Carlo","Sildenafil Therapy for Pulmonary Hypertension Before and After Pediatric Congenital Heart Surgery","Texas Heart Institute Journal","","0730-2347","","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3113134/","Pulmonary hypertension associated with pediatric congenital heart defects is a major cause of postoperative morbidity and death. Sildenafil has been combined with inhaled nitric oxide to treat pulmonary hypertension. We retrospectively studied the pre- and postoperative effects of oral sildenafil as monotherapy in children with pulmonary hypertension who underwent surgery to correct congenital cardiac defects., From September 2005 through November 2009, 38 children with moderate-to-severe pulmonary arterial hypertension (pulmonary arterial/aortic pressure ratio, >0.7) underwent cardiac surgery at our institution. Fifteen patients were given sildenafil (0.35 mg/kg, every 4 hr) orally or through nasogastric tubes 1 week before and 1 week after surgery. Twenty-three patients of comparable medical status were given sildenafil only upon the institution of cardiopulmonary bypass and for 1 week after surgery., Postoperatively, the 15 patients who were given preoperative sildenafil had significantly lower mean pulmonary arterial pressures (25.6 ± 3.1 vs 30.4 ± 5.7 mmHg; P = 0.005) and pulmonary arterial/aortic pressure ratios (0.35 ± 0.05 vs 0.42 ± 0.07; P = 0.002) than did the other 23 patients. The preoperative therapy also shortened cardiopulmonary bypass time, mechanical ventilation time, and lengths of intensive care unit and hospital stays. No sildenafil-related hypertensive crises or sequelae occurred., As monotherapy, oral sildenafil in low doses appears to control pulmonary hypertension safely and effectively in children undergoing operations to correct congenital heart defects, particularly when it is given both preoperatively and postoperatively. Further study is warranted.","2011","2025-05-21 20:01:22","2025-05-21 20:01:22","2025-05-21 20:01:22","238-242","","3","38","","Tex Heart Inst J","","","","","","","","","","","","","PubMed Central","","PMID: 21720460 PMCID: PMC3113134","","","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3113134/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BVQQUJ4P","journalArticle","2008","Westerski, Przemysław; Mrówczyński, Wojciech; Mroziński, Bartłomiej; Wodziński, Andrzej; Bartkowski, Rafał; Pawelec−Wojtalik, Małgorzata; Grześkowiak, Małgorzata; Śniatkowska, Alicja; Wojtalik, Michał","Prediction of Postoperative Pulmonary Hypertension in Children Undergoing Cardiac Surgery","Advances in Clinical and Experimental Medicine","","1899-5276","","https://advances.umw.edu.pl/en/article/2008/17/3/313/","","2008","2025-05-21 20:04:55","2025-05-21 20:04:55","2025-05-21 20:04:55","313-319","","3","17","","","","","","","","","","en","","","","","advances.umw.edu.pl","","Number: 3 Publisher: Wroclaw Medical University","","/home/fgsj/Zotero/storage/U673R224/313.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M43DDNSQ","journalArticle","2018","Schuuring, M. J.; Lagrand, W. K.","Right ventricular failure in the intensive care unit: Mechanisms and medical therapy","Netherlands journal of critical care","","1569-3511","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85047222060&origin=inward","Right ventricular (RV) failure is frequently encountered in the intensive care unit. This clinical syndrome may be difficult to diagnose and treat. RV failure is commonly characterised by oedema, elevated jugular venous pressure, hypotension and in worse cases shock or multi-organ failure. High-risk patients include those with cardiac surgery, ARDS, ischaemia (inferior infarction, RV involvement), recent myocardial infarction, pulmonary hypertension and patients with congenital heart disease. Besides supportive treatment, medical therapies are available that are targeted to RV failure including inotropic and vasodilatory agents. Mechanical and surgical therapy of RV failure is beyond the scope of this article. Larger prospective studies are needed to determine optimal diagnostic and medical therapy for patients with RV failure in the intensive care unit.","2018","2025-05-21 20:06:28","2025-05-21 20:06:28","2025-05-21 20:06:28","98-103","","3","26","","","Right ventricular failure in the intensive care unit","","","","","","","","","","","","Amsterdam UMC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2UV3SNI6","journalArticle","2008","Ídiz, Mustafa; Konuralp, Cüneyt; Çine, Nihat; Aydemir, Numan A.; Enç, Yavuz; Yapici, Nihan; Aykaç, Zuhal; Çiçek, Sertaç; Bilal, Mehmet S.","Prolonged postoperative recovery following surgical repair for congenital heart disease in young children","Archives of Medical Science","","1734-1922","","https://www.termedia.pl/Clinical-research-Prolonged-postoperative-recovery-following-surgical-repair-for-congenital-heart-disease-in-young-children,19,11200,1,1.html","Introduction: We aimed to draw a profile of young children undergoing surgical repair for congenital heart disease (CHD), who have prolonged postoperative recovery, and compared this profile with the profile of a shorter postoperative recovery time group. Material and methods: Data of 147 consecutive patients aged younger than 36 months undergoing cardiac surgery for CHD were reviewed, and they were allocated to two groups based on the duration of intensive care unit (ICU) stay equal to or less than 7 days (group I, n=114), and more than 7 days (group II, n=33). Results: The patients in group II were significantly younger (10.2&#177;3.9 months vs. 19.9&#177;5.8 months; P<0.001). Aortic cross-clamp times were 39.1&#177;3.6 min in group I, and 50.4&#177;8.7 min in group II (P<0.05). Extubation failures (more than 48 hours) occurred in 3 cases in group I, compared to 29 patients in group II (P<0.0001). A total of 28 patients (7 in group I, and 21 in group II) developed pulmonary complications. These patients contributed to the majority of total ventilator days (69%) as well as ICU stay (58%). Fourteen percent of patients underwent staged operations in group I, compared to 48.5% in group II (P<0.002). Conclusions: Pulmonary complications seem to be one of the most important causes of delayed recovery following cardiac surgery in young children. We suggest that extubation time is a crucial factor for development of pulmonary problems. This factor might be more important for infants who undergo staged operations.","2008","2025-05-21 20:11:10","2025-05-21 20:11:34","","278–284","","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DCNKNUJQ","journalArticle","2009","Klotzka, A.; Trojnarska, O.","Treatment of congenital heart diseases in children with Down's syndrome","Polski Przeglad Kardiologiczny","","","","","Due to recent social transformations women decide to have offspring significantly later than their mothers and grandmothers. A greater risk of genetic aberrations occurrence, including the most common - Down's syndrome, is an unavoidable consequence of this phenomenon. The main determinant of deceased survival in Down syndrome is concomitant congenital heart disease, usually represented by shunt lesions, most commonly atrioventricular canal and ventricular septal defect. Down's syndrome patients are especially prone to develop pulmonary hypertension, related to genetic mutations and abnotrmal endothelial nitric oxide metabolism. Congenital shunt lesions with strong predisposition to pulmonary hypertension development justify performing cardiac surgery in infancy, when the results of surgery are optimal. In children with Down's syndrome postoperative course is usually more complicated and reoperations are common. However, long- and short-term mortality is comparable to that observed in patients with normal karyotype. Contemporary observations reinforce the strategy of surgical referral of patients with Down's syndrome according to generally accepted indications. © 2009 Cornetis.","2009","2025-05-21 20:20:45","2025-05-21 20:20:45","","292-295","","4","11","","","Leczenie wrodzonych wad serca u pacjentów z zespołem Downa","","","","","","","","","","Scopus","","Scopus","","","","/home/fgsj/Zotero/storage/5HH65QXH/display.html","","","Congenital heart disease; Down's syndrome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6MCXLQCH","journalArticle","1997","Bando, K.; Vijayaraghavan, P.; Turrentine, M. W.; Sharp, T. G.; Ensing, G. J.; Sekine, Y.; Szekely, L.; Morelock, R. J.; Brown, J. W.","Dynamic changes of endothelin-1, nitric oxide, and cyclic GMP in patients with congenital heart disease","Circulation","","0009-7322","","","BACKGROUND: Pulmonary hypertension causes major morbidity and mortality after congenital heart surgery, but its mechanism remains unclear. METHODS AND RESULTS: Plasma endothelin-1 (ET-1), nitric oxide (NO), and cyclic GMP (cGMP) were assayed at 6 intervals in 50 children undergoing cardiopulmonary bypass (CPB): before CPB, 10 minutes into CPB, and 0, 3, 6, and 12 hours after CPB. Three groups based on pulmonary flow and pressure were analyzed: low flow (LF, n=21), high flow/low pressure (systolic pulmonary pressure/systemic pressure ratio, Pp/Ps<50%, HF-LP, n=11), and high flow/high pressure (Pp/Ps> or =50%, HF-HP, n=19). HF-HP and HF-LP received alpha-blockers (chlorpromazine and/or prazosin). HF-HP patients received nitric oxide donors (nitroglycerin/sodium nitroprusside). ET-1 peaked at 6 hours, with its highest level in the HF-HP group (P<.01, by ANOVA). ET-1 correlated significantly with Pp/Ps at 6 hours (r2=.43, P<.005). In the HF-HP group, ET-1 remained above the other groups at 12 hours (12.7+/-2.5 pg/mL versus 6.4+/-1.1 pg/mL versus 6.5+/-3.8 pg/mL P<.05 by ANOVA). NO metabolites were elevated equivalently for the HF-HP and HF-LP groups (5.7+/-2.6 micromol/L versus 0.3.5+/-2.5 micromol/L at 12 hours, P=NS) despite nitric oxide donors and the excess ET-1 in HF-HP patients. Levels of cGMP were similarly elevated in HF-HP and HF-LP patients during this study. CONCLUSIONS: Endogenous NO may decrease vascular tone and maintain low pulmonary pressure in HF-LP patients. High levels of ET-1, inadequate NO production, and/or impaired responses to NO may increase pulmonary pressure in HF-HP patients.","1997-11-04","2025-05-21 20:22:48","2025-05-21 20:22:48","","II-346-351","","9 Suppl","96","","Circulation","","","","","","","","eng","","","","","PubMed","","PMID: 9386122","","","http://www.ncbi.nlm.nih.gov/pubmed/9386122","","Female; Humans; Male; Heart Defects, Congenital; Child, Preschool; Infant; Nitric Oxide; Postoperative Complications; Blood Pressure; Cyclic GMP; Cardiopulmonary Bypass; Endothelin-1; Hypertension, Pulmonary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4DBEWAN7","journalArticle","2004","Gorenflo, M.","Role of iloprost for treatment of postoperative PH in children","Journal fur Anasthesie und Intensivbehandlung","","","","","","2004","2025-05-21 20:27:01","2025-05-21 20:27:01","","43","","2","11","","","","","","","","","","","","","Scopus","","Scopus","","","","/home/fgsj/Zotero/storage/I4ABSCWI/display.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KB685VZ2","journalArticle","2000","Estanove, S.; Girard, C.; Bastien, O.; Piriou, V.; Lehot, J.-J.","Inhaled nitric oxide : Therapeutic applications in cardiac surgery","Bulletin de l'Academie Nationale de Medecine","","","","","","2000","2025-05-21 20:29:13","2025-05-21 20:29:13","","1715-1726","","8","184","","","Le monoxyde d'azote inhalé : Applications thérapeutiques en chirurgie cardiaque","","","","","","","","","","Scopus","","Scopus","","","<p>Cited By :5</p>","/home/fgsj/Zotero/storage/FUE8ATSB/display.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UVL7BV3P","journalArticle","2001","Ramírez, L.R.; Calderón Colmenero, J.; Martinez, E.Z.; García Montes, J.A.; Méndez, J.M.; De La Reguera, G.F.","Changes in oxigenation index induced by NO inhalation during the postoperative period of congenital heart repair with severe pulmonary hypertension in children","Archivos de Cardiologia de Mexico","","","","","In this clinical study, 7 pediatric patients with severe pulmonary artery hypertension, secondary to congenital heart disease, received inhaled nitric oxide at doses of 20 ppm in the acute postoperative management of congenital heart repair for 3.5 days. Monitoring included oxigenation index, alveoloarterial oxygen difference, pulmonary and systemic pressure, measurements were recorded previous to the NO administration; 1, 6, 12, 24, 36, 48 and 72 hours after treatment with NO, nitrous oxide (NO2) and seric methemoglobin also were monitored. Results, Average age was 3.6 years. The oxigenation index before inhaling NO was 166 ± 100, 72 hours following inhalation of NO the oxigenation index was 210 ± 98. The alveolo-arterial baseline oxygen difference was 270 ± 145; 72 hours after inhaling NO, it was 163 ± 167. No decreases in pulmonary and systemic arterial pressure during NO inhalation ocurred. The levels of NO2 and seric methemoglobin were not toxic. Conclusions: Treatment with inhaled NO after cardiac surgery in children with severy pulmonary artery hypertension secondary to congenital heart disease may be useful to improve oxigenation with no changes in pulmonary and systemic arterial pressure. Inhaled NO at 20 ppm did not cause toxicity.","2001","2025-05-21 20:31:02","2025-05-21 20:31:02","","121-126","","2","71","","","Cambios en los índices de oxigenación con el uso de óxido nítrico en el postoperatorio de corrección de cardiopatías congénitas con hipertensión pulmonar severa","","","","","","","","","","Scopus","","Scopus","","","<p>Cited By :2</p>","/home/fgsj/Zotero/storage/X9UJARZF/display.html","","","Congenital heart disease; Nitric oxide; Oxigenation index; Postoperative cardiac surgery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9EM7NVL2","journalArticle","1999","Fujii, T.; Yoshihara, K.; Koyama, N.; Watanabe, Y.; Shiono, N.; Kawasaki, M.; Yokomuro, H.; Ozawa, T.; Sakuragawa, H.; Takanashi, Y.","Pediatric NO inhalation therapy after open heart surgery","Journal of the Medical Society of Toho University","","","","","Among 140 children undergoing open heart surgery between January 1994 (the time when nitric oxide (NO) inhalation therapy was introduced to our hospital) and January 1988, 5 children who underwent NO inhalation therapy were studied. Preoperative pulmonary pressure was high in 3 of the 5 children (mean Pp/Ps, 0.85) and mean pulmonary vascular resistance was 9.0 U·m2 in 2 of these 3. The pulmonary pressure and resistance were normal in the other 2 children. NO inhalation therapy is indicated for hypoxemia due to reactive pulmonary vasoconstriction, pulmonary hypertensive (PH) crisis, ventilation perfusion mismatch due to prolonged cardiopulmonary bypass, and acceleration of early adaptation to the Fontan circulation. A decrease in heart rate, an increase in mean arterial pressure and a statistical decrease in central venous pressure were observed in all of the 5 children soon after they began to inhale NO, in addition to hemodynamic improvement, probably due to decreased pulmonary vascular resistance, and increased PaO2/FiO2. Although one child died on postoperative day 20 due to a PH crisis rebound upon weaning from the ventilator, the other 4 children experienced improved respiration, circulatory dynamics, and resolution of PH crisis after NO inhalation and were successfully weaned from the ventilator. NO inhalation therapy was very useful in the postoperative management of complicated congenital heart diseases.","1999","2025-05-21 20:35:46","2025-05-21 20:35:46","","367-376","","5-6","46","","","","","","","","","","","","","Scopus","","Scopus","","","","/home/fgsj/Zotero/storage/WXM7CE3H/display.html","","","Congenital heart disease; Nitric oxide inhalation therapy; Open heart surgery; Postoperative pulmonary hypertension; Reactive pulmonary vasoconstriction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
